NTAName,NTACode,DisplacementRiskIndex,PopulationVulnerability,HousingConditions,MarketPressure,NotWhite,Below2xPovertyRate,Below2xPovertyRate_MOE,LimitedEnglishProficiency,LimitedEnglishProficiency_MOE,SevereRentBurdenVsCity,SevereRentBurden,SevereRentBurden_MOE,RentalHousing,RentalHousing_MOE,NotIncomeRestricted,NotRentStabilizedVsCity,NotRentStabilized,NotRentStabilized_MOE,3PlusMaintenanceDeficienciesVsCity,3PlusMaintenanceDeficiencies,3PlusMaintenanceDeficiencies_MOE,ChangeInRentsVsCity,ChangeInRents,ChangeInRents_MOE,SalesPriceAppreciation,ChangeInPopulationWithBachelorsDegreesVsCity,ChangeInPopulationWithBachelorsDegrees,ChangeInPopulationWithBachelorsDegrees_MOE,Adjacency
West Concourse,BX63,Highest,Highest,Higher,Lowest,97.9,61.4,3,37,2,Larger proportion of severely rent burdened households than City,41.3,3.4,97.2,1,75.2,Larger proportion of households in rent-stabilized units than City,87.5,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,25.9,6.1,Smaller rent change than City,131,47,3.254752061,No statistical difference from the City in the percent change of population with a bachelor's degree,65.7,36.1,Not adjacent to neighborhoods with high Market Pressure scores
West Farms-Bronx River,BX08,Highest,Highest,Higher,Lowest,97.3,60.7,3.4,29,3,Larger proportion of severely rent burdened households than City,37.8,3.9,84.2,2.4,84.9,No statistical difference from the City in the proportion of rent-stabilized households,43.6,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,15.3,4.1,Smaller rent change than City,81,72,3.137518792,Smaller percent change of population with a bachelor's degree than the City,-0.9,22.6,Not adjacent to neighborhoods with high Market Pressure scores
West New Brighton-New Brighton-St. George,SI22,Lower,Lower,Intermediate,Lowest,77.3,37.8,2.5,11,2,No statistical difference from the City in the proportion of severely rent burdened households,31,4.8,59.2,2.8,84,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,Smaller rent change than City,-32,114,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,21,16.5,Not adjacent to neighborhoods with high Market Pressure scores
West Village,MN23,Lowest,Lowest,Higher,Lower,24.3,11.7,1.2,2,0,Smaller proportion of severely rent burdened households than City,18.3,2.3,63.6,1.8,99.6,Smaller proportion of households in rent-stabilized units than City,33,6,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.9,3,No statistical difference in rent change from City,242,144,2.222504266,Smaller percent change of population with a bachelor's degree than the City,-6.6,5.6,Adjacent to neighborhoods with high Market Pressure scores
Westchester-Unionport,BX59,Highest,Highest,Higher,Lowest,94.7,44.4,3.1,25,3,Larger proportion of severely rent burdened households than City,38.5,4.6,73.4,2.8,96.8,No statistical difference from the City in the proportion of rent-stabilized households,43.6,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,15.3,4.1,No statistical difference in rent change from City,149,84,3.137518792,No statistical difference from the City in the percent change of population with a bachelor's degree,34.2,24.2,Not adjacent to neighborhoods with high Market Pressure scores
Westerleigh,SI07,Lowest,Lowest,Intermediate,Lowest,34.2,17.9,2.4,9,2,No statistical difference from the City in the proportion of severely rent burdened households,22.3,6.5,24.3,3.3,100,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,Smaller rent change than City,-1,165,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,12.2,14.8,Not adjacent to neighborhoods with high Market Pressure scores
Whitestone,QN49,Lower,Lower,Lower,Lowest,46.1,19.9,2,23,2,No statistical difference from the City in the proportion of severely rent burdened households,28.7,7.2,25.2,2.8,100,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,Smaller rent change than City,-50,179,2.794468731,Smaller percent change of population with a bachelor's degree than the City,4.5,12.6,Not adjacent to neighborhoods with high Market Pressure scores
Williamsbridge-Olinville,BX44,Higher,Higher,Intermediate,Lowest,97.7,41.3,1.7,11,1,Larger proportion of severely rent burdened households than City,39.3,2.9,68.5,1.8,93.5,No statistical difference from the City in the proportion of rent-stabilized households,39.8,10.1,Larger proportion of units with 3+ maintenance deficiencies than the City,18.9,6.7,No statistical difference in rent change from City,169,64,2.398000253,No statistical difference from the City in the percent change of population with a bachelor's degree,6.9,12.4,Not adjacent to neighborhoods with high Market Pressure scores
Williamsburg,BK72,Higher,Higher,Intermediate,Lower,17.4,74.3,2.9,31,3,Larger proportion of severely rent burdened households than City,42.6,4,86.3,2.7,86.8,No statistical difference from the City in the proportion of rent-stabilized households,41.5,8.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.2,3.7,No statistical difference in rent change from City,144,173,3.494413696,No statistical difference from the City in the percent change of population with a bachelor's degree,8.9,35.9,Adjacent to neighborhoods with high Market Pressure scores
Windsor Terrace,BK40,Lowest,Lowest,Lower,Intermediate,36,15.7,1.9,8,2,Smaller proportion of severely rent burdened households than City,18.8,4.1,54.8,2.8,99.9,No statistical difference from the City in the proportion of rent-stabilized households,40.9,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.5,4.2,Larger rent change than City,419,184,4.71435859,Smaller percent change of population with a bachelor's degree than the City,15.1,11.4,Not adjacent to neighborhoods with high Market Pressure scores
Woodhaven,QN53,Intermediate,Intermediate,Intermediate,Intermediate,88,32.1,1.4,28,2,No statistical difference from the City in the proportion of severely rent burdened households,30.5,3.1,49,2,100,Smaller proportion of households in rent-stabilized units than City,33.4,10.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,2.3,No statistical difference in rent change from City,200,85,2.886296822,Larger percent change of population with a bachelor's degree than the City,31.8,13.4,Not adjacent to neighborhoods with high Market Pressure scores
Woodlawn-Wakefield,BX62,Lower,Lower,Intermediate,Lowest,85.5,30.1,2.1,7,1,No statistical difference from the City in the proportion of severely rent burdened households,30.3,4.1,51.9,2.6,98.2,No statistical difference from the City in the proportion of rent-stabilized households,39.8,10.1,Larger proportion of units with 3+ maintenance deficiencies than the City,18.9,6.7,No statistical difference in rent change from City,165,84,2.398000253,No statistical difference from the City in the percent change of population with a bachelor's degree,18.5,14.8,Not adjacent to neighborhoods with high Market Pressure scores
Woodside,QN63,Intermediate,Intermediate,Intermediate,Lower,80.9,31.2,2.1,39,2,Smaller proportion of severely rent burdened households than City,22.1,3.5,62.1,2.8,94.5,No statistical difference from the City in the proportion of rent-stabilized households,52.8,8.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,8.9,3.7,No statistical difference in rent change from City,114,89,3.028023846,Smaller percent change of population with a bachelor's degree than the City,-8.5,10,Adjacent to neighborhoods with high Market Pressure scores
Yorkville,MN32,Lowest,Lowest,Higher,Intermediate,29.1,11.9,1.6,4,1,Smaller proportion of severely rent burdened households than City,17,2.3,72.7,2.2,95.9,Smaller proportion of households in rent-stabilized units than City,33.3,5.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.7,1.8,Larger rent change than City,281,81,1.978976714,Smaller percent change of population with a bachelor's degree than the City,-3.2,6.3,Not adjacent to neighborhoods with high Market Pressure scores
